tu_id	speaker	start	end	parent_tu_id	text
467	PSB076_trad	751.882	753.012	466	serve per camminare no?
1666	PSB075_trad	2464.192	2465.683	1665	come ti chiami?
1869	PSB076_trad	2734.750	2736.807	1868	ecco cognata sto bene sto bene lei sta bene?
1872	PSB076_trad	2737.306	2738.101	1871	come stai adesso?
1874	PSB076_trad	2743.044	2744.004	1873	non è troppo vero?
1877	PSB076_trad	2747.045	2748.011	1876	bisognava dirlo al dottore
1880	PSB076_trad	2755.837	2757.462	1879	oh bene era andato fuori?
2162	PSB075_trad	3159.987	3161.372	2161	no da quanto tempo sei sposata?
2165	PSB075_trad	3163.056	3164.030	2164	da quanto tempo sei sposata?
2168	PSB075_trad	3166.135	3167.316	2167	da quanto tempo sei sposata?
2171	PSB075_trad	3168.737	3169.289	2170	due giorni solo
2174	PSB075_trad	3171.283	3171.726	2173	mi sembra tanto
2177	PSB076_trad	3172.863	3174.246	2176	no se conosci qualcuno che si sposa
2179	PSB076_trad	3174.567	3175.422	2178	ma sì si frequentano
2181	PSB076_trad	3176.146	3180.457	2180	prima a casa di kazi das ci sono stati due occasioni e il bou bhat è durato tre giorni
2183	PSB075_trad	3181.385	3181.919	2182	non tre giorni in più
2185	PSB076_trad	3182.033	3182.471	2184	quello una settimana
2277	PSB076_trad	3275.295	3275.948	2276	quello (laggiù) che dice?
2284	PSB076_trad	3287.203	3288.053	2283	quello vicino che dice?
2661	PSB076_trad	3816.810	3817.568	2660	che dice quello?
2872	PSB076_trad	4130.480	4131.550	2871	non ti dà fastidio il sole?
2877	PSB076_trad	4134.340	4136.450	2876	xx qui c'è molto sole
2901	PSB075_trad	4181.320	4183.838	2900	era malato no?
2903	PSB076_trad	4184.000	4184.460	2902	no
2905	PSB075_trad	4184.500	4185.638	2904	ci ero andato così tanto per vedere
2907	PSB076_trad	4185.601	4188.792	2906	così per e poi dato che era domenica e la scuola era chiusa xxx
3096	PSB076_trad	4598.443	4604.983	3095	quando lui era piccolo io eh dato regalo per quello piccolo piccolo pupazzo quei pupazzi
