tu_id	speaker	start	end	parent_tu_id	text
393	PSB001_trad	564.480	565.510	392	come si dice astronomia?
959	PSB001_trad	1335.740	1336.480	958	quella geografica
961	PSB001_trad	1336.580	1337.070	960	l'indirizzo
975	PSB001_trad	1348.670	1349.720	974	rete ha una rete
978	PSB001_trad	1350.360	1351.040	977	ragnatela
993	PSB001_trad	1365.100	1367.150	992	un circo a cerchio
996	PSB002_trad	1368.950	1369.700	995	cosa a cerchio?
998	PSB001_trad	1369.970	1371.110	997	un cerchio di fiume e poi un altro cerchio
1001	PSB002_trad	1371.580	1372.450	999	un cerchio di fiume?
1003	PSB001_trad	1372.960	1374.020	1002	non so come si dice
1005	PSB001_trad	1374.130	1375.990	1004	cioè la ragnatela
1010	PSB002_trad	1377.650	1378.110	1009	parla parla
1012	PSB001_trad	1378.900	1380.160	1011	cioè cioè
1014	PSB001_trad	1380.600	1382.690	1013	cioè terra e poi intorno c'è un cerchio di fiume
1017	PSB001_trad	1383.320	1384.270	1016	poi c'è un altro anello di terra seguito da un altro anello di fiume
1278	PSB001_trad	1703.580	1705.370	1277	si conta? otto modi di fare
1280	PSB002_trad	1705.360	1706.710	1279	ah otto tipi? pensavo che stessi parlando di
1282	PSB002_trad	1706.760	1707.260	1281	cucine
1284	PSB001_trad	1707.300	1709.760	1283	giusto voglio dire cucina ma non so come tradurlo
1286	PSB002_trad	1708.020	1708.590	1285	sì
1290	PSB001_trad	1711.560	1713.690	1289	otto modi di fare le cose probabilmente non sono nemmeno modi di fare
1370	PSB001_trad	1803.450	1804.200	1369	testa di pesce con peperoncino tritato
1376	PSB002_trad	1805.193	1806.090	1375	sì testa di pesce con peperoncino tritato sì
1435	PSB001_trad	1875.420	1876.260	1434	sì ingredienti
1621	PSB001_trad	2114.800	2116.740	1620	no esa~ dove cioè
1630	PSB001_trad	2126.050	2127.340	1629	come si dice est?
1649	PSB002_trad	2143.090	2144.490	1648	sud e e est est est
1651	PSB002_trad	2144.880	2145.760	1650	no cioè
1653	PSB001_trad	2145.270	2146.130	1652	no cioè
1655	PSB001_trad	2146.390	2149.300	1654	è proprio in centro sai dov'era jasmine prima?
1657	PSB002_trad	2149.340	2149.770	1656	non lo so
1659	PSB001_trad	2150.030	2151.460	1658	adesso è già fallita
1661	PSB002_trad	2150.930	2152.670	1660	non conosco questo jasmine
1664	PSB001_trad	2152.970	2153.830	1663	ah qua qua
1753	PSB002_trad	2260.180	2261.020	1752	inzuppato
2291	PSB001_trad	2979.160	2981.840	2290	capo posso dire quello
2293	PSB001_trad	2982.540	2983.290	2292	di hunan
2295	PSB001_trad	2983.870	2984.940	2294	capoluogo
2363	PSB001_trad	3057.850	3058.540	2362	cioè liaison
2366	PSB002_trad	3059.280	3060.130	2365	liaison?
2368	PSB001_trad	3060.180	3062.550	2367	cioè quando pronunciano due parole velocemente non si capisce niente
2482	PSB002_trad	3210.820	3212.760	2481	leggere i giornali o telegiornali
2484	PSB001_trad	3212.760	3213.550	2483	sembra
2684	PSB001_trad	3489.940	3492.360	2683	è imbarazzante imbarazzante
