token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB005	0	0	0	bene	bene	_	_	_	_	_	linguistic	_	none	_	Begin=1.389|End=1.819	_	_	_	_
1-0	PSB005	1	1	0	allora	allora	_	_	_	_	_	linguistic	_	none	_	Begin=2.04	_	_	_	_
1-1	PSB005	1	1	1	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-2	PSB005	1	1	2	prima	prima	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	PSB005	1	1	3	domanda	domanda	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-4	PSB005	1	1	4	è	è	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
1-5	PSB005	1	1	5	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
1-6	PSB005	1	1	6	com'	com'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
1-7	PSB005	1	1	7	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-8	PSB005	1	1	8	nata	nata	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-9	PSB005	1	1	9	questa	questa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-10	PSB005	1	1	10	scuola	scuola	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-11	PSB005	1	1	11	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-12	PSB005	1	1	12	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-13	PSB005	1	1	13	attività::	attività	_	_	_	_	_	linguistic	_	none	_	_	7x2	_	_	_
1-14	PSB005	1	1	14	ci	ci	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-15	PSB005	1	1	15	sono	sono	_	_	_	_	_	linguistic	_	none	_	End=6.067	_	_	_	_
2-0	PSB067	2	2	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=7.27	_	_	_	_
2-1	PSB067	2	2	1	devo	devo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	PSB067	2	2	2	rispondere	rispondere	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PSB067	2	2	3	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-4	PSB067	2	2	4	allora	allora	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-5	PSB067	2	2	5	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-6	PSB067	2	2	6	questa	questa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-7	PSB067	2	2	7	qui	qui	_	_	_	_	_	linguistic	_	none	_	End=9.11	_	_	_	_
3-0	PSB005	3	3	0	sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=9.14|End=9.38	_	_	_	_
4-0	PSB067	4	4	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=9.5	_	_	_	_
4-1	PSB067	4	4	1	allora	allora	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	PSB067	4	4	2	quest~	quest~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
4-3	PSB067	4	4	3	questa	questa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-4	PSB067	4	4	4	scuola	scuola	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-5	PSB067	4	4	5	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-6	PSB067	4	4	6	nata:	nata	_	_	_	_	_	linguistic	_	none	_	_	3x1	_	_	_
4-7	PSB067	4	4	7	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
4-8	PSB067	4	4	8	anno	anno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-9	PSB067	4	4	9	scorso	scorso	_	_	_	_	_	linguistic	_	none	_	End=12.901	_	_	_	_
5-0	PSB067	5	5	0	dopo	dopo	_	_	_	_	_	linguistic	_	none	_	Begin=13.55	_	_	_	_
5-1	PSB067	5	5	1	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-2	PSB067	5	5	2	fatica:	fatica	_	_	_	_	_	linguistic	_	none	_	_	5x1	_	_	_
5-3	PSB067	5	5	3	di:	di	_	_	_	_	_	linguistic	_	none	_	_	1x1	_	_	_
5-4	PSB067	5	5	4	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-5	PSB067	5	5	5	<$		_	_	_	_	_	warning	_	none	Orthography=Yes|Variation=Emerging	_	_	Slow=0-1(0)	_	_
5-6	PSB067	5	5	6	ricercamenti>	ricercamenti	_	_	_	_	_	linguistic	_	none	_	_	_	Slow=0-12(0)	_	_
5-7	PSB067	5	5	7	perché:	perché	_	_	_	_	_	linguistic	_	none	_	_	5x1	_	_	_
5-8	PSB067	5	5	8	tutti	tutti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-9	PSB067	5	5	9	vogliono	vogliono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-10	PSB067	5	5	10	studiare	studiare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-11	PSB067	5	5	11	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
5-12	PSB067	5	5	12	arabo	arabo	_	_	_	_	_	linguistic	_	none	_	End=19.36	_	_	_	_
6-0	PSB067	6	6	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=19.94	_	_	_	_
6-1	PSB067	6	6	1	poi	poi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-2	PSB067	6	6	2	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
6-3	PSB067	6	6	3	arabo	arabo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-4	PSB067	6	6	4	si	si	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-5	PSB067	6	6	5	st~	st~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
6-6	PSB067	6	6	6	si	si	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-7	PSB067	6	6	7	studiava	studiava	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-8	PSB067	6	6	8	prima	prima	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-9	PSB067	6	6	9	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-10	PSB067	6	6	10	moschea	moschea	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-11	PSB067	6	6	11	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-12	PSB067	6	6	12	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-13	PSB067	6	6	13	potevano:	potevano	_	_	_	_	_	linguistic	_	none	_	_	7x1	_	_	_
6-14	PSB067	6	6	14	farlo	farlo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-15	PSB067	6	6	15	lì	lì	_	_	_	_	_	linguistic	_	none	_	End=24.464	_	_	_	_
7-0	PSB067	7	7	0	hanno	hanno	_	_	_	_	_	linguistic	_	none	_	Begin=25.07	_	_	_	_
7-1	PSB067	7	7	1	deciso	deciso	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	PSB067	7	7	2	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-3	PSB067	7	7	3	pa~	pa~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
7-4	PSB067	7	7	4	eh	eh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-5	PSB067	7	7	5	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-6	PSB067	7	7	6	comprare	comprare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-7	PSB067	7	7	7	questo	questo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-8	PSB067	7	7	8	eh	eh	_	_	_	_	_	linguistic	_	none	_	End=27.833	_	_	_	_
8-0	PSB067	8	8	0	>questo	questo	_	_	_	_	_	linguistic	_	none	_	Begin=28.31	_	Fast=0-6(0)	_	_
8-1	PSB067	8	8	1	diciamo<	diciamo	_	_	_	_	_	linguistic	_	none	_	_	_	Fast=0-7(0)	_	_
8-2	PSB067	8	8	2	questa	questa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-3	PSB067	8	8	3	zona	zona	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-4	PSB067	8	8	4	qui	qui	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-5	PSB067	8	8	5	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-6	PSB067	8	8	6	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
8-7	PSB067	8	8	7	hanno	hanno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-8	PSB067	8	8	8	costruito,	costruito	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=31.34	_	_	_	_
9-0	PSB067	9	9	0	e:	e	_	_	_	_	_	linguistic	_	none	_	Begin=31.62	0x1	_	_	_
9-1	PSB067	9	9	1	basta	basta	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
9-2	PSB067	9	9	2	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
9-3	PSB067	9	9	3	solo	solo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-4	PSB067	9	9	4	così	così	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-5	PSB067	9	9	5	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-6	PSB067	9	9	6	nata	nata	_	_	_	_	_	linguistic	_	none	_	End=33.333	_	_	_	_
10-0	PSB005	10	10	0	okay	okay	_	_	_	_	_	linguistic	_	none	_	Begin=33.347|End=33.903	_	_	_	_
11-0	PSB005	11	11	0	ma	ma	_	_	_	_	_	linguistic	_	none	_	Begin=34.41	_	_	_	_
11-1	PSB005	11	11	1	l~	l~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
11-2	PSB005	11	11	2	qualcuno	qualcuno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-3	PSB005	11	11	3	ha	ha	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-4	PSB005	11	11	4	avuto	avuto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-5	PSB005	11	11	5	questa	questa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-6	PSB005	11	11	6	idea	idea	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-7	PSB005	11	11	7	di:	di	_	_	_	_	_	linguistic	_	none	_	_	1x1	_	_	_
11-8	PSB005	11	11	8	costruire	costruire	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-9	PSB005	11	11	9	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-10	PSB005	11	11	10	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-11	PSB005	11	11	11	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-12	PSB005	11	11	12	comprare	comprare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-13	PSB005	11	11	13	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-14	PSB005	11	11	14	scuola	scuola	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-15	PSB005	11	11	15	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-16	PSB005	11	11	16	fare	fare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-17	PSB005	11	11	17	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-18	PSB005	11	11	18	progetto	progetto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-19	PSB005	11	11	19	°[di	di	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	0-2(0)
11-20	PSB005	11	11	20	una	una	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	0-3(0)
11-21	PSB005	11	11	21	scuola°]?	scuola	_	_	_	_	_	linguistic	_	none	Intonation=Rising|Volume=low	End=40.252	_	_	_	0-6(0)
12-0	PSB067	12	12	0	[sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=39.48	_	_	_	0-2(0)
12-1	PSB067	12	12	1	sì	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(0)
12-2	PSB067	12	12	2	perché	perché	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-6(0)
12-3	PSB067	12	12	3	ade]sso:	adesso	_	_	_	_	_	linguistic	_	none	_	_	5x1	_	_	0-3(0)
12-4	PSB067	12	12	4	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-5	PSB067	12	12	5	maggior	maggior	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-6	PSB067	12	12	6	parte	parte	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-7	PSB067	12	12	7	dei	dei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-8	PSB067	12	12	8	giovani	giovani	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-9	PSB067	12	12	9	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-10	PSB067	12	12	10	so~	so~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
12-11	PSB067	12	12	11	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-12	PSB067	12	12	12	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-13	PSB067	12	12	13	vissuti	vissuti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-14	PSB067	12	12	14	qua	qua	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-15	PSB067	12	12	15	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-16	PSB067	12	12	16	sposati	sposati	_	_	_	_	_	linguistic	_	none	_	End=44.715	_	_	_	_
13-0	PSB005	13	13	0	mhmh	mhmh	_	_	_	_	_	linguistic	_	none	_	Begin=44.75|End=45.17	_	_	_	_
14-0	PSB067	14	14	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=45.2	_	_	_	_
14-1	PSB067	14	14	1	hanno	hanno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-2	PSB067	14	14	2	quella	quella	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-3	PSB067	14	14	3	voglia	voglia	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-4	PSB067	14	14	4	di:	di	_	_	_	_	_	linguistic	_	none	_	_	1x1	_	_	_
14-5	PSB067	14	14	5	far	far	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-6	PSB067	14	14	6	imparare	imparare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-7	PSB067	14	14	7	ai	ai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-8	PSB067	14	14	8	b~	b~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
14-9	PSB067	14	14	9	i	i	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-10	PSB067	14	14	10	bimbi:	bimbi	_	_	_	_	_	linguistic	_	none	_	_	4x1	_	_	_
14-11	PSB067	14	14	11	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
14-12	PSB067	14	14	12	arabo	arabo	_	_	_	_	_	linguistic	_	none	_	End=48.39	_	_	_	_
15-0	PSB005	15	15	0	mh	mh	_	_	_	_	_	linguistic	_	none	_	Begin=48.4|End=48.706	_	_	_	_
16-0	PSB067	16	16	0	perché	perché	_	_	_	_	_	linguistic	_	none	_	Begin=48.75	_	_	_	_
16-1	PSB067	16	16	1	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-2	PSB067	16	16	2	maggior	maggior	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-3	PSB067	16	16	3	parte	parte	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-4	PSB067	16	16	4	dei	dei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-5	PSB067	16	16	5	bimbi	bimbi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-6	PSB067	16	16	6	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-7	PSB067	16	16	7	capiscono	capiscono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-8	PSB067	16	16	8	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
16-9	PSB067	16	16	9	arabo	arabo	_	_	_	_	_	linguistic	_	none	_	End=51.11	_	_	_	_
17-0	PSB067	17	17	0	anche	anche	_	_	_	_	_	linguistic	_	none	_	Begin=51.73	_	_	_	_
17-1	PSB067	17	17	1	se	se	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-2	PSB067	17	17	2	sono	sono	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
