code	type	duration	participants-number	participants	languages	collection-point	topic	moderator	participants-relationship	year	unknown-participant
SBCA001	free-conversation	00:46:42	4	PSB033;PSB045;PSB044;PSB043	italian;other	BO	free	no	symmetric	_	yes
SBCA002	free-conversation	00:49:12	3	PSB083;PSB084;PSB085	italian;other	BO	free	no	symmetric	_	no
SBCA003	free-conversation	00:30:08	2	PSB099;PSB100	italian;other	BO	free	no	symmetric	_	no
SBCA004	free-conversation	00:21:26	2	PSB099;PSB100	italian;other	BO	free	no	symmetric	_	no
SBCA006	free-conversation	00:31:00	2	PSB125;PSB126	italian;other	BO	free	no	symmetric	_	no
SBCA008	free-conversation	00:30:45	2	PSB140;PSB141	italian;other	BO	free	no	symmetric	_	yes
SBCA009	free-conversation	00:16:36	2	PSB142;PSB143	italian;other	BO	free	no	symmetric	_	no
SBCA010	free-conversation	00:25:31	3	PSB161;PSB162;PSB163	italian;other	BO	free	no	symmetric	_	no
SBCA011	free-conversation	01:03:45	2	PSB164;PSB165	italian;other	BO	free	no	symmetric	_	yes
SBCB001	free-conversation	00:31:24	4	PSB071;PSB072;PSB073;PSB074	italian;other	BO	free	no	symmetric	_	yes
SBCB002	free-conversation	00:49:12	4	PSB005;PSB093;PSB094;PSB095	italian;other	BO	free	no	symmetric	_	yes
SBCB003	free-conversation	00:32:00	2	PSB095;PSB118	italian;other	BO	free	no	symmetric	_	no
SBCB004	free-conversation	01:17:46	4	PSB054;PSB133;PSB134;PSB135	italian;other	BO	free	no	symmetric	_	yes
SBCB005	free-conversation	00:48:22	2	PSB049;PSB050	italian	BO	free	no	symmetric	_	no
SBCB006	free-conversation	00:31:21	4	PSB005;PSB093;PSB094;PSB095	italian;other	BO	free	no	symmetric	_	yes
SBCB007	free-conversation	00:28:51	3	PSB005;PSB093;PSB095	italian;other	BO	free	no	symmetric	_	yes
SBCB008	free-conversation	01:54:00	2	PSB151;PSB152	italian;other	BO	free	no	symmetric	_	yes
SBCC003	free-conversation	01:07:00	4	PSB101;PSB102;PSB103;PSB054	italian;other	BO	free	no	symmetric	_	no
SBCC004	free-conversation	01:19:46	2	PSB104;PSB105	italian	BO	free	no	symmetric	_	no
SBCC005	free-conversation	00:17:00	2	PSB109;PSB110	italian;other	BO	free	no	symmetric	_	no
SBCC006	free-conversation	00:39:00	2	PSB109;PSB110	italian;other	BO	free	no	symmetric	_	no
SBCC007	free-conversation	00:50:00	2	PSB113;PSB114	italian;other	BO	free	no	symmetric	_	yes
SBCC008	free-conversation	01:29:06	3	PSB104;PSB105;PSB119	italian;other	BO	free	no	symmetric	_	no
SBCC009	free-conversation	01:24:45	4	PSB104;PSB105;PSB119;PSB120	italian;other	BO	free	no	symmetric	_	no
SBCC010	free-conversation	00:49:00	2	PSB121;PSB122	italian	BO	free	no	symmetric	_	no
SBCC011	free-conversation	00:12:00	2	PSB121;PSB122	italian	BO	free	no	symmetric	_	no
SBCC012	free-conversation	00:41:59	2	PSB136;PSB137	italian;other	BO	free	no	symmetric	_	no
SBCU001	free-conversation	01:29:03	2	PSB005;PSB022	italian;other	BO	free	no	symmetric	_	yes
SBCU002	free-conversation	00:22:00	6	PSB005;PSB005;PSB087;PSB088;PSB089;PSB090;PSB086	italian;other	BO	free	no	symmetric	_	no
SBCU003	free-conversation	00:14:27	2	PSB091;PSB092	italian	BO	free	no	symmetric	_	no
SBCU005	free-conversation	00:41:10	2	PSB106;PSB107	italian;other	BO	free	no	symmetric	_	no
SBCU007	free-conversation	00:44:05	8	PSB005;PSB036;PSB086;PSB091;PSB127;PSB128;PSB129;PSB130	italian;other	BO	free	no	symmetric	_	yes
SBCU007bis	free-conversation	00:49:02	8	PSB005;PSB036;PSB086;PSB091;PSB127;PSB128;PSB129;PSB130	italian;other	BO	free	no	symmetric	_	no
SBCU007tris	free-conversation	00:23:48	8	PSB005;PSB036;PSB086;PSB091;PSB127;PSB128;PSB129;PSB130	italian;other	BO	free	no	symmetric	_	no
SBCU008	free-conversation	01:00:00	2	PSB005;PSB091	italian;other	BO	free	no	symmetric	_	yes
SBCU008bis	free-conversation	01:14:29	2	PSB005;PSB091	italian;other	BO	free	no	symmetric	_	yes
SBCU010	free-conversation	00:19:01	2	PSB149;PSB150	italian;other	BO	free	no	symmetric	_	no
SBIA002	semistructured-interview	01:20:00	3	PSB005;PSB017;PSB016	italian;other	BO	fixed	yes	asymmetric	_	no
SBIA003	semistructured-interview	00:38:42	3	PSB005;PSB023;PSB024	italian	BO	fixed	yes	asymmetric	_	yes
SBIA004	semistructured-interview	00:23:00	3	PSB005;PSB025;PSB017	italian;other	BO	fixed	yes	asymmetric	_	yes
SBIA005	semistructured-interview	00:37:02	2	PSB005;PSB027	italian;other	BO	fixed	yes	asymmetric	_	yes
SBIA006	semistructured-interview	00:16:40	3	PSB014;PSB033;PSB034	italian;other	BO	fixed	yes	asymmetric	_	no
SBIA008	semistructured-interview	00:44:30	2	PSB005;PSB042	italian;other	BO	fixed	yes	asymmetric	_	no
SBIA011	semistructured-interview	00:33:57	3	PSB005;PSB063;PSB064	italian;other	BO	fixed	yes	asymmetric	_	no
SBIA012	semistructured-interview	00:47:32	3	PSB005;PSB065;PSB066	italian;other	BO	fixed	yes	asymmetric	_	yes
