tu_id	speaker	start	end	parent_tu_id	text
31	PSB018_trad	91.185	92.092	30	rispondere
68	PSB018_trad	237.270	242.020	67	come si dice la persona chi lavora in aereo hostess
75	PSB018_trad	257.940	259.980	74	strettamente legati con inglese
122	PSB018_trad	429.852	430.741	121	ero interessata
202	PSB018_trad	674.333	688.204	201	un vantaggio per come una cosa naturale quando due cose vicini come due paesi vicini hanno si influenzano l'un l'altro
212	PSB018_trad	713.982	730.725	211	so non so se una informazione ma io sono una mamma da sola e sono insegnante non ho un business o una professione con i busta paga alta no
230	PSB018_trad	788.556	789.981	229	di medio
232	PSB018_trad	791.000	792.982	231	medio economico
282	PSB018_trad	970.148	992.493	281	allora anche lì per usare il cabinetto con internet e computer devo fare un appuntamento per futuro per usare perché tua tu sei uno studento non di informatica o computer ma un studento di inglese
301	PSB018_trad	1035.741	1042.185	300	tante possibilità per cercare usare informazioni infinite
322	PSB018_trad	1105.611	1109.148	321	sì esatto esatto perché tante fonti
332	PSB018_trad	1129.944	1145.034	331	sì vero ascolto perché come noi sappiamo ci sono quattro principali cose scrivere parlare ascoltare e
342	PSB018_trad	1161.018	1166.648	341	lontano della lingua straniera
353	PSB018_trad	1195.055	1199.296	352	prima cosa tu sviluppi
380	PSB018_trad	1258.586	1265.241	379	ma adesso tutte le fonti questi fo~ non so come si fo~
386	PSB018_trad	1273.879	1278.621	385	anche turisti tutto ti suona
390	PSB018_trad	1279.207	1281.362	389	come anglofono
631	PSB018_trad	2107.614	2110.682	630	sviluppo della personalità
797	PSB018_trad	2662.339	2665.274	796	ci sentiamo bene qui
846	PSB018_trad	2827.758	2839.387	845	tante persone che cosa possibile e tutte devo tutte le problemi devono essere risolti
902	PSB018_trad	3038.645	3040.203	901	ha visto passare
1037	PSB018_trad	3522.516	3525.690	1036	sviluppare xx nel mondo
1046	PSB018_trad	3540.032	3541.387	1045	o punto
1074	PSB018_trad	3617.161	3617.901	1073	uno spasso
1095	PSB018_trad	3680.145	3681.956	1094	da una parte cambiate
1161	PSB018_trad	3866.968	3877.210	1160	tutte le non so le no li questi mortadella wurstel salsicce tutti i tipi
1178	PSB018_trad	3896.226	3898.355	1177	per quanto ne so
1185	PSB018_trad	3910.387	3913.226	1184	segue della qualità
1243	PSB018_trad	4050.274	4050.998	1242	ananas
1263	PSB018_trad	4127.597	4132.468	1262	ci sono tante prodotti come semipronti
1276	PSB018_trad	4165.210	4167.048	1275	rotondi polpette
1305	PSB018_trad	4228.968	4229.665	1304	me stessa
1321	PSB018_trad	4274.871	4280.758	1320	per fare tutto a mano
1445	PSB018_trad	4661.258	4665.403	1444	la pasta ripieno
1485	PSB018_trad	4781.436	4791.823	1484	l'unica cosa in bologna e in itali~ in italia a me non piace per niente era insalata russa come e questo no
1569	PSB018_trad	5112.694	5118.210	1568	cose buone loro hanno per la sua vita come un valori
1573	PSB018_trad	5122.307	5126.984	1572	e anche questo può sviluppare
1576	PSB018_trad	5127.484	5128.291	1575	sviluppare
1579	PSB018_trad	5129.210	5132.742	1578	sviluppare la la il nostro mondo interiore
