token_id	speaker	tu_id	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB128	0	0	ma	ma	_	_	_	_	_	linguistic	_	none	_	Begin=0.35	_	_	_	_
0-1	PSB128	0	1	ragazze	ragazze	_	_	_	_	_	linguistic	_	none	_	End=1.38	_	_	_	_
1-0	PSB128	1	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=3.32	_	_	_	_
1-1	PSB128	1	1	va?	va	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=3.78	_	_	_	_
2-0	PSB005	2	0	n[o::]	no	_	_	_	_	_	linguistic	_	none	_	Begin=3.81|End=4.92	1x2	_	_	1-2(0)
3-0	PSB130	3	0	[no:	no	_	_	_	_	_	linguistic	_	none	_	Begin=3.98	1x1	_	_	0-2(0)
3-1	PSB130	3	1	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(0)
3-2	PSB130	3	2	rotto]	rotto	_	_	_	_	_	linguistic	_	none	_	End=5.3	_	_	_	0-5(0)
4-0	PSB005	4	0	no	no	_	_	_	_	_	linguistic	_	none	_	Begin=5.33	_	_	_	_
4-1	PSB005	4	1	no	no	_	_	_	_	_	linguistic	_	none	_	End=6.02	_	_	_	_
5-0	PSB128	5	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=6.0	_	_	_	_
5-1	PSB128	5	1	[eh	eh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(2)
5-2	PSB128	5	2	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(2)
5-3	PSB128	5	3	fermo]	fermo	_	_	_	_	_	linguistic	_	none	_	End=6.97	_	_	_	0-5(2)
6-0	PSB036	6	0	[m:h]	mh	_	_	_	_	_	linguistic	_	none	_	Begin=6.28|End=6.97	0x1	_	_	0-2(2)
7-0	PSB005	7	0	sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=7.08	_	_	_	_
7-1	PSB005	7	1	[sì	sì	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	0-2(369)
7-2	PSB005	7	2	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	X(369)
7-3	PSB005	7	3	no	no	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(369)
7-4	PSB005	7	4	no]	no	_	_	_	_	_	linguistic	_	none	_	End=8.855	_	_	_	0-2(369)
8-0	PSB130	8	0	[sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=7.26	_	_	_	0-2(369)
8-1	PSB130	8	1	sì]	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(369)
8-2	PSB130	8	2	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	End=8.64	_	_	_	_
9-0	PSB036	9	0	[perché	perché	_	_	_	_	_	linguistic	_	none	_	Begin=7.48	_	_	_	0-6(369)
9-1	PSB036	9	1	se]	se	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(369)
9-2	PSB036	9	2	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	End=8.654	_	_	_	_
10-0	PSB130	10	0	saranno	saranno	_	_	_	_	_	linguistic	_	none	_	Begin=9.28	_	_	_	_
10-1	PSB130	10	1	le	le	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-2	PSB130	10	2	cinque,	cinque	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
10-3	PSB130	10	3	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-4	PSB130	10	4	ore	ore	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-5	PSB130	10	5	saranno	saranno	_	_	_	_	_	linguistic	_	none	_	End=10.925	_	_	_	_
11-0	PSB129	11	0	sono	sono	_	_	_	_	_	linguistic	_	none	_	Begin=10.925	_	_	_	_
11-1	PSB129	11	1	le	le	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-2	PSB129	11	2	cinque	cinque	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-3	PSB129	11	3	esatte	esatte	_	_	_	_	_	linguistic	_	none	_	End=12.5	_	_	_	_
12-0	PSB127	12	0	il	il	_	_	_	_	_	linguistic	_	none	_	Begin=12.53	_	_	_	_
12-1	PSB127	12	1	tempo	tempo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-2	PSB127	12	2	vola	vola	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-3	PSB127	12	3	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	End=14.59	_	_	_	_
13-0	PSB128	13	0	ho	ho	_	_	_	_	_	linguistic	_	none	_	Begin=14.9	_	_	_	_
13-1	PSB128	13	1	pensato	pensato	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
13-2	PSB128	13	2	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
13-3	PSB128	13	3	poi	poi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-4	PSB128	13	4	dopo	dopo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-5	PSB128	13	5	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-6	PSB128	13	6	visto	visto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-7	PSB128	13	7	la	la	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
13-8	PSB128	13	8	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
13-9	PSB128	13	9	stri[scia]	striscia	_	_	_	_	_	linguistic	_	none	_	End=19.121	_	_	_	4-8(3)
14-0	PSB129	14	0	[che]	che	_	_	_	_	_	linguistic	_	none	_	Begin=19.005	_	_	_	0-3(3)
14-1	PSB129	14	1	era	era	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-2	PSB129	14	2	ferma	ferma	_	_	_	_	_	linguistic	_	none	_	End=19.945	_	_	_	_
15-0	PSB128	15	0	°sì	sì	_	_	_	_	_	linguistic	_	none	Volume=low	Begin=20.13	_	_	_	_
15-1	PSB128	15	1	sì	sì	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
15-2	PSB128	15	2	e	e	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
15-3	PSB128	15	3	fi~°	fi~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes|Volume=low	End=21.28	_	_	_	_
16-0	PSB091	16	0	questo	questo	_	_	_	_	_	linguistic	_	none	_	Begin=21.34	_	_	_	_
16-1	PSB091	16	1	sì	sì	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
16-2	PSB091	16	2	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
16-3	PSB091	16	3	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-4	PSB091	16	4	basta	basta	_	_	_	_	_	linguistic	_	none	_	End=22.56	_	_	_	_
17-0	PSB129	17	0	che	che	_	_	_	_	_	linguistic	_	none	_	Begin=23.68	_	_	_	_
17-1	PSB129	17	1	be::lli	belli	_	_	_	_	_	linguistic	_	none	_	_	1x2	_	_	_
17-2	PSB129	17	2	so[no	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	2-4(4)
17-3	PSB129	17	3	bellis]simi	bellissimi	_	_	_	_	_	linguistic	_	none	_	End=25.51	_	_	_	0-6(4)
18-0	PSB086	18	0	[attenta]	attenta	_	_	_	_	_	linguistic	_	none	_	Begin=24.65|End=25.212	_	_	_	0-7(4)
19-0	PSB086	19	0	attenta,	attenta	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	Begin=25.73|End=26.45	_	_	_	_
20-0	PSB129	20	0	°a:h	ah	_	_	_	_	_	linguistic	_	none	Volume=low	Begin=32.84	0x1	_	_	_
20-1	PSB129	20	1	gli	gli	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
20-2	PSB129	20	2	adesivi°	adesivi	_	_	_	_	_	linguistic	_	none	Volume=low	End=33.96	_	_	_	_
21-0	PSB005	21	0	certo	certo	_	_	_	_	_	linguistic	_	none	_	Begin=34.63|End=35.23	_	_	_	_
22-0	PSB005	22	0	dopo	dopo	_	_	_	_	_	linguistic	_	none	_	Begin=35.8	_	_	_	_
22-1	PSB005	22	1	vi	vi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
22-2	PSB005	22	2	do	do	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
22-3	PSB005	22	3	gli	gli	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
22-4	PSB005	22	4	adesivi	adesivi	_	_	_	_	_	linguistic	_	none	_	End=37.2	_	_	_	_
23-0	PSB086	23	0	@nadya	@nadya	_	_	_	_	_	anonymized	_	none	_	Begin=37.97	_	_	_	_
23-1	PSB086	23	1	[furba	furba	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-5(5)
23-2	PSB086	23	2	qua	qua	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(5)
23-3	PSB086	23	3	vicino	vicino	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-6(5)
23-4	PSB086	23	4	a]	a	_	_	_	_	_	linguistic	_	none	_	End=39.88	_	_	_	0-1(5)
24-0	PSB129	24	0	[sai	sai	_	_	_	_	_	linguistic	_	none	_	Begin=38.36	_	_	_	0-3(?)
24-1	PSB129	24	1	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(?)
24-2	PSB129	24	2	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(?)
24-3	PSB129	24	3	li	li	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(?)
24-4	PSB129	24	4	devo	devo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-4(?)
24-5	PSB129	24	5	ancora	ancora	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-6(?)
24-6	PSB129	24	6	portare	portare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-7(?)
24-7	PSB129	24	7	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(?)
24-8	PSB129	24	8	@guglielmo]	@guglielmo	_	_	_	_	_	anonymized	_	none	_	End=40.189	_	_	_	0-10(?)
25-0	PSB091	25	0	[nes]suno	nessuno	_	_	_	_	_	linguistic	_	none	_	Begin=39.895	_	_	_	0-3(6)
25-1	PSB091	25	1	ha	ha	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
25-2	PSB091	25	2	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
25-3	PSB091	25	3	[coraggio	coraggio	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-8(7)
25-4	PSB091	25	4	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(7)
25-5	PSB091	25	5	provare]?	provare	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=41.965	_	_	_	0-7(7)
26-0	PSB129	26	0	[non	non	_	_	_	_	_	linguistic	_	none	_	Begin=40.61	_	_	_	0-3(7)
26-1	PSB129	26	1	li	li	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(7)
26-2	PSB129	26	2	ha	ha	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(7)
26-3	PSB129	26	3	mai	mai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(7)
26-4	PSB129	26	4	presi]	presi	_	_	_	_	_	linguistic	_	none	_	End=42.01	_	_	_	0-5(7)
27-0	PSB130	27	0	beh	beh	_	_	_	_	_	linguistic	_	none	_	Begin=42.3	_	_	_	_
27-1	PSB130	27	1	[eh	eh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(370)
27-2	PSB130	27	2	io]::	io	_	_	_	_	_	linguistic	_	none	_	End=44.16	1x2	_	_	0-2(370)
28-0	PSB005	28	0	[sono	sono	_	_	_	_	_	linguistic	_	none	_	Begin=42.56	_	_	_	0-4(370)
