token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB005	0	0	0	okay	okay	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=0.0	_	_	_	_
0-1	PSB005	0	0	1	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
0-2	PSB005	0	0	2	vado	vado	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
0-3	PSB005	0	0	3	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
0-4	PSB005	0	0	4	pronti	pronti	_	_	_	_	_	linguistic	_	none	_	End=2.154	_	_	_	_
1-0	PSB087	1	1	0	sì	sì	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=2.75	_	_	_	_
1-1	PSB087	1	1	1	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
1-2	PSB087	1	1	2	margherita	margherita	_	_	_	_	_	linguistic	_	none	_	End=3.93	_	_	_	_
2-0	PSB005	2	2	0	grazie	grazie	_	_	_	_	_	linguistic	_	none	_	Begin=3.96	_	_	_	_
2-1	PSB005	2	2	1	grazie	grazie	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	PSB005	2	2	2	poi	poi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PSB005	2	2	3	dopo	dopo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-4	PSB005	2	2	4	mi	mi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-5	PSB005	2	2	5	dici	dici	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-6	PSB005	2	2	6	quanti	quanti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-7	PSB005	2	2	7	soldi	soldi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-8	PSB005	2	2	8	devo	devo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-9	PSB005	2	2	9	dare	dare	_	_	_	_	_	linguistic	_	none	_	End=6.94	_	_	_	_
3-0	PSB087	3	3	0	mhmh	mhmh	_	_	_	_	_	linguistic	_	none	_	Begin=6.97|End=7.46	_	_	_	_
4-0	PSB088	4	4	0	eh	eh	_	_	_	_	_	linguistic	_	none	_	Begin=7.94	_	_	_	_
4-1	PSB088	4	4	1	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	PSB088	4	4	2	milione	milione	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	PSB088	4	4	3	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-4	PSB088	4	4	4	euro	euro	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
