tu_id	speaker	start	end	parent_tu_id	text
357	PSB128_trad	651.440	653.213	356	da noi si chiama anche skatilka
361	PSB128_trad	657.920	660.947	360	comunque ho dimenticato come si chiama da noi
365	PSB128_trad	665.480	666.866	364	ho dimenticato come si chiama
368	PSB086_trad	667.820	668.391	367	mattarello
371	PSB091_trad	668.820	671.329	370	mattarello mattarello
374	PSB128_trad	671.700	673.181	373	mattarello mattarello
520	PSB128_trad	896.820	901.140	519	e da voi qualcuno fa con la forma di orecchio?
545	PSB127_trad	945.663	947.657	544	e cosa metteva la sua conoscente?
547	PSB127_trad	948.551	950.493	546	c'era qualcosa però non mi ricordo
549	PSB091_trad	950.507	951.513	548	io non c'ero lì
551	PSB127_trad	951.520	952.253	550	quindi tu non c'eri?
593	PSB091_trad	1050.157	1053.420	592	che vuoi? ti mancano le (lumache)? dimmi pure
595	PSB127_trad	1053.775	1060.043	594	e adesso il marzapane è diventato un piatto?
1015	PSB127_trad	1695.510	1697.921	1014	andavamo in tempo passato come si dice?
1021	PSB127_trad	1701.215	1702.701	1020	siamo anda~ andavamo
1281	PSB128_trad	2110.761	2113.540	1280	scusami hai messo il sale nell'acqua?
1283	PSB091_trad	2113.816	2114.278	1282	sì l'ho messo
1489	PSB091_trad	2477.037	2477.915	1488	ricotta ucraina xx
1555	PSB127_trad	2571.373	2572.520	1554	i ravioli già?
1559	PSB128_trad	2577.957	2579.447	1558	sì vieni ad assaggiarlo
1567	PSB091_trad	2586.718	2590.459	1566	assaggia
1640	PSB127_trad	2749.797	2751.692	1639	xx dove hai detto che si trovano i bicchieri di vetro
