tu_id	speaker	start	end	parent_tu_id	text
122	PSB152_trad	267.428	267.832	121	pronto
124	PSB152_trad	272.535	274.050	123	che dici mamma cara non ho sonno
127	PSB152_trad	277.686	278.121	126	dove dormi?
129	PSB152_trad	285.141	286.186	128	dove dormi?
131	PSB152_trad	287.464	288.282	130	dove dormi?
133	PSB152_trad	293.782	295.211	132	chiudi ti richiamo dopo
136	PSB152_trad	310.348	311.419	135	ti richiamo dopo
430	PSB152_trad	996.868	997.577	429	sì
433	PSB152_trad	1001.475	1003.151	432	sì extraordinario
819	PSB152_trad	1921.537	1925.504	818	è dio che ha fatto bianchi io ch' devo ch~ aggiala fa non è mica colpa mia
831	PSB152_trad	1952.757	1956.172	830	i naturale che ha fatto bianco io ch' devo fa è questo è fashion
1034	PSB152_trad	2342.279	2345.017	1033	offerto lei non accettato cazzi suoi
1038	PSB152_trad	2349.684	2350.285	1037	cazzi suoi
1694	PSB151_trad	3974.562	3974.976	1693	tesoro
1700	PSB152_trad	3981.857	3983.437	1699	finito contratto io ch' devo fare
2154	PSB152_trad	5103.516	5104.399	2153	quello è cazzi tuoi
2314	PSB152_trad	5498.130	5504.580	2313	unico unico libri il corano non ha cambiato mai non cambierà neanche
2324	PSB152_trad	5514.170	5517.800	2323	non ci sta errori nel corano ti posso dire
2327	PSB152_trad	5522.980	5524.670	2326	non esiste nel corano
2339	PSB152_trad	5555.880	5559.970	2338	lingua e quello di corano è scritto lingua corano
2358	PSB152_trad	5607.460	5609.700	2357	se vai a leggere lingua corano
2374	PSB152_trad	5644.100	5646.660	2373	pure in italia tiene quello corano mille anni fa
2423	PSB151_trad	5769.677	5772.949	2422	ma con lo stesso sì che lo capisco ma con lo stesso nome scusa?
2660	PSB152_trad	6326.602	6328.518	2659	non mangio piccante
2662	PSB151_trad	6328.857	6331.662	2661	ah no sì lì è bello piccante
2664	PSB151_trad	6331.763	6332.967	2663	cioè come tu non mangi piccante
2684	PSB152_trad	6386.331	6386.780	2683	sì
