token_id	speaker	tu_id	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB054	0	0	okay	okay	_	_	_	_	_	linguistic	_	none	_	Begin=0.98|End=1.78	_	_	_	_
1-0	PSB054	1	0	allora	allora	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=3.61	_	_	_	_
1-1	PSB054	1	1	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
1-2	PSB054	1	2	>poggio	poggio	_	_	_	_	_	linguistic	_	none	_	_	_	Fast=0-6(0)	_	_
1-3	PSB054	1	3	qui<	qui	_	_	_	_	_	linguistic	_	none	_	_	_	Fast=0-3(0)	_	_
1-4	PSB054	1	4	così	così	_	_	_	_	_	linguistic	_	none	_	End=6.64	_	_	_	_
2-0	PSB054	2	0	all~	all~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	Begin=8.71	_	_	_	_
2-1	PSB054	2	1	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	End=9.9	_	_	_	_
3-0	PSB101	3	0	allora	allora	_	_	_	_	_	linguistic	_	none	_	Begin=9.31	_	_	_	_
3-1	PSB101	3	1	l[ei	lei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	1-3(1)
3-2	PSB101	3	2	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(1)
3-3	PSB101	3	3	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(1)
3-4	PSB101	3	4	mia]:	mia	_	_	_	_	_	linguistic	_	none	_	End=11.99	2x1	_	_	0-3(1)
4-0	PSB054	4	0	[ci	ci	_	_	_	_	_	linguistic	_	none	_	Begin=10.65	_	_	_	0-2(1)
4-1	PSB054	4	1	siamo]	siamo	_	_	_	_	_	linguistic	_	none	_	End=11.58	_	_	_	0-5(1)
5-0	PSB101	5	0	compagna	compagna	_	_	_	_	_	linguistic	_	none	_	Begin=12.5	_	_	_	_
5-1	PSB101	5	1	[sì	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(2)
5-2	PSB101	5	2	abbiamo	abbiamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-7(2)
5-3	PSB101	5	3	fatto	fatto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-5(2)
5-4	PSB101	5	4	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(2)
5-5	PSB101	5	5	sc]uola::	scuola	_	_	_	_	_	linguistic	_	none	_	End=16.08	5x2	_	_	0-2(2)
6-0	PSB054	6	0	[eh	eh	_	_	_	_	_	linguistic	_	none	_	Begin=13.38	_	_	_	0-2(2)
6-1	PSB054	6	1	infatti	infatti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-7(2)
6-2	PSB054	6	2	ma]	ma	_	_	_	_	_	linguistic	_	none	_	End=15.0	_	_	_	0-2(2)
7-0	PSB101	7	0	di	di	_	_	_	_	_	linguistic	_	none	_	Begin=16.38	_	_	_	_
7-1	PSB101	7	1	lingua	lingua	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
