token_id	speaker	tu_id	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB086	0	0	vedere	vedere	_	_	_	_	_	linguistic	_	none	_	Begin=0.0	_	_	_	_
0-1	PSB086	0	1	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PSB086	0	2	scena	scena	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PSB086	0	3	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	PSB086	0	4	uno	uno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-5	PSB086	0	5	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-6	PSB086	0	6	quelli	quelli	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-7	PSB086	0	7	più	più	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-8	PSB086	0	8	grandi	grandi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-9	PSB086	0	9	xxx	xxx	_	_	_	_	_	unknown	_	none	Syllables=3	_	_	_	_	_
0-10	PSB086	0	10	fa	fa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-11	PSB086	0	11	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-12	PSB086	0	12	poliziotto	poliziotto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-13	PSB086	0	13	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-14	PSB086	0	14	s~	s~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
0-15	PSB086	0	15	sempre	sempre	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-16	PSB086	0	16	impegnato	impegnato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-17	PSB086	0	17	no?	no	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=5.022	_	_	_	_
1-0	PSB086	1	0	però	però	_	_	_	_	_	linguistic	_	none	_	Begin=5.22	_	_	_	_
1-1	PSB086	1	1	stanno	stanno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-2	PSB086	1	2	attaccati	attaccati	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	PSB086	1	3	xxx	xxx	_	_	_	_	_	unknown	_	none	Syllables=3	_	_	_	_	_
1-4	PSB086	1	4	u~	u~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
1-5	PSB086	1	5	mattina	mattina	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-6	PSB086	1	6	altro	altro	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-7	PSB086	1	7	pomeriggio	pomeriggio	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
1-8	PSB086	1	8	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
1-9	PSB086	1	9	fanno	fanno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-10	PSB086	1	10	tutto	tutto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-11	PSB086	1	11	tutto	tutto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-12	PSB086	1	12	[tutto],	tutto	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=10.881	_	_	_	0-5(0)
2-0	PSB036	2	0	[e	e	_	_	_	_	_	linguistic	_	none	_	Begin=10.38	_	_	_	0-1(0)
2-1	PSB036	2	1	dai]	dai	_	_	_	_	_	linguistic	_	none	_	End=10.92	_	_	_	0-3(0)
3-0	PSB086	3	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=11.32	_	_	_	_
3-1	PSB086	3	1	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	PSB086	3	2	vedere	vedere	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	PSB086	3	3	e:h	eh	_	_	_	_	_	linguistic	_	none	_	_	0x1	_	_	_
3-4	PSB086	3	4	siccome	siccome	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-5	PSB086	3	5	lui	lui	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-6	PSB086	3	6	doveva	doveva	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-7	PSB086	3	7	fare	fare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-8	PSB086	3	8	un'	un'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
3-9	PSB086	3	9	altra	altra	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-10	PSB086	3	10	visita	visita	_	_	_	_	_	linguistic	_	none	_	End=14.84	_	_	_	_
4-0	PSB086	4	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=16.119	_	_	_	_
4-1	PSB086	4	1	dovevano	dovevano	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	PSB086	4	2	spostare	spostare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	PSB086	4	3	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-4	PSB086	4	4	ospedale	ospedale	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-5	PSB086	4	5	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-6	PSB086	4	6	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-7	PSB086	4	7	papà	papà	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-8	PSB086	4	8	chiede	chiede	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-9	PSB086	4	9	ma	ma	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-10	PSB086	4	10	tu	tu	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-11	PSB086	4	11	domani	domani	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-12	PSB086	4	12	ci	ci	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-13	PSB086	4	13	sei	sei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-14	PSB086	4	14	vero	vero	_	_	_	_	_	linguistic	_	none	_	End=20.213	_	_	_	_
5-0	PSB086	5	0	alle	alle	_	_	_	_	_	linguistic	_	none	_	Begin=21.24	_	_	_	_
5-1	PSB086	5	1	undici	undici	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-2	PSB086	5	2	xx	xx	_	_	_	_	_	unknown	_	none	Syllables=2	_	_	_	_	_
5-3	PSB086	5	3	papà	papà	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-4	PSB086	5	4	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-5	PSB086	5	5	riesco	riesco	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-6	PSB086	5	6	papà	papà	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-7	PSB086	5	7	massimo	massimo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-8	PSB086	5	8	undici	undici	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
