token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB104	0	0	0	allora	allora	_	_	_	_	_	linguistic	_	none	_	Begin=1.696	_	_	_	_
0-1	PSB104	0	0	1	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PSB104	0	0	2	proposito	proposito	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PSB104	0	0	3	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	PSB104	0	0	4	chatgipiti	chatgipiti	_	_	_	_	_	linguistic	_	none	_	End=3.406	_	_	_	_
1-0	PSB105	1	1	0	[mhmh]	mhmh	_	_	_	_	_	linguistic	_	none	_	Begin=3.731|End=4.164	_	_	_	0-4(0)
2-0	PSB104	2	2	0	[io	io	_	_	_	_	_	linguistic	_	none	_	Begin=3.822	_	_	_	0-2(0)
2-1	PSB104	2	2	1	chie]do	chiedo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-4(0)
2-2	PSB104	2	2	2	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PSB104	2	2	3	entrambe	entrambe	_	_	_	_	_	linguistic	_	none	_	End=5.122	_	_	_	_
3-0	PSB104	3	3	0	quanto	quanto	_	_	_	_	_	linguistic	_	none	_	Begin=5.474	_	_	_	_
3-1	PSB104	3	3	1	spesso	spesso	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	PSB104	3	3	2	lo	lo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	PSB104	3	3	3	usate	usate	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-4	PSB104	3	3	4	nella	nella	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-5	PSB104	3	3	5	giorna[ta]	giornata	_	_	_	_	_	linguistic	_	none	_	End=7.487	_	_	_	6-8(1)
4-0	PSB119	4	4	0	[o]gni	ogni	_	_	_	_	_	linguistic	_	none	_	Begin=7.258	_	_	_	0-1(1)
4-1	PSB119	4	4	1	giorno	giorno	_	_	_	_	_	linguistic	_	none	_	End=8.087	_	_	_	_
5-0	PSB105	5	5	0	{ride}	{ride}	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=8.748|End=11.21	_	_	_	_
6-0	PSB104	6	6	0	{ride}	{ride}	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=8.973	_	_	_	_
6-1	PSB104	6	6	1	anch'	anch'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
6-2	PSB104	6	6	2	io::	io	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	1x2	_	_	_
6-3	PSB104	6	6	3	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
6-4	PSB104	6	6	4	anch'	anch'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
6-5	PSB104	6	6	5	i:o	io	_	_	_	_	_	linguistic	_	none	_	End=12.05	0x1	_	_	_
7-0	PSB120	7	7	0	sì::	sì	_	_	_	_	_	linguistic	_	none	_	Begin=8.987|End=9.413	1x2	_	_	_
8-0	PSB104	8	8	0	anch'	anch'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	Begin=12.198	_	_	_	_
8-1	PSB104	8	8	1	io,	io	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	_	_	_	_
8-2	PSB104	8	8	2	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-3	PSB104	8	8	3	lo	lo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-4	PSB104	8	8	4	uso	uso	_	_	_	_	_	linguistic	_	none	_	End=13.783	_	_	_	_
9-0	PSB104	9	9	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=13.995	_	_	_	_
9-1	PSB104	9	9	1	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-2	PSB104	9	9	2	secondo	secondo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-3	PSB104	9	9	3	me	me	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
