token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB091	0	0	0	<oh	oh	_	_	_	_	_	linguistic	_	none	_	Begin=4.8	_	Slow=0-2(0)	_	_
0-1	PSB091	0	0	1	dio	dio	_	_	_	_	_	linguistic	_	none	_	_	_	Slow=0-3(0)	_	_
0-2	PSB091	0	0	2	mio>	mio	_	_	_	_	_	linguistic	_	none	_	End=6.12	_	Slow=0-3(0)	_	_
1-0	PSB005	1	1	0	ne	ne	_	_	_	_	_	linguistic	_	none	_	Begin=6.73	_	_	_	_
1-1	PSB005	1	1	1	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-2	PSB005	1	1	2	poche	poche	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	PSB005	1	1	3	perché	perché	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
1-4	PSB005	1	1	4	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
1-5	PSB005	1	1	5	questa	questa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-6	PSB005	1	1	6	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-7	PSB005	1	1	7	mia	mia	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-8	PSB005	1	1	8	sor[ella]	sorella	_	_	_	_	_	linguistic	_	none	_	End=9.09	_	_	_	3-7(0)
2-0	PSB091	2	2	0	[tu]	tu	_	_	_	_	_	linguistic	_	none	_	Begin=8.775	_	_	_	0-2(0)
2-1	PSB091	2	2	1	tu	tu	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	PSB091	2	2	2	sei	sei	_	_	_	_	_	linguistic	_	none	_	End=9.535	_	_	_	_
3-0	PSB091	3	3	0	è	è	_	_	_	_	_	linguistic	_	none	_	Begin=10.25	_	_	_	_
3-1	PSB091	3	3	1	tua	tua	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	PSB091	3	3	2	so[rella	sorella	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	2-7(1)
3-3	PSB091	3	3	3	più]	più	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(1)
3-4	PSB091	3	3	4	piccola?	piccola	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=11.82	_	_	_	_
4-0	PSB005	4	4	0	[sì]	sì	_	_	_	_	_	linguistic	_	none	_	Begin=10.799|End=11.233	_	_	_	0-2(1)
5-0	PSB005	5	5	0	ha	ha	_	_	_	_	_	linguistic	_	none	_	Begin=11.85	_	_	_	_
5-1	PSB005	5	5	1	dieci	dieci	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-2	PSB005	5	5	2	anni	anni	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-3	PSB005	5	5	3	tredici	tredici	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
