tu_id	speaker	start	end	parent_tu_id	text
1	PSB162_trad	1.080	1.580	0	questa
4	PSB162_trad	2.200	4.880	3	era la segreteria qualcosa di
9	PSB162_trad	9.614	13.020	8	guarda non c'ho nessun debito di energia
17	PSB162_trad	30.990	33.040	16	domani ti preparo xx
21	PSB162_trad	33.460	35.580	20	te lo aggiusterò
42	PSB161_trad	61.580	63.780	41	no no ascolta ascolta due secondi
60	PSB161_trad	90.530	92.520	59	secondo me è andata via la luce
90	PSB161_trad	144.640	146.130	89	vabbè chi ti vedrà tanto?
98	PSB161_trad	169.510	169.890	97	no
100	PSB161_trad	170.930	171.390	99	te lo giuro
108	PSB161_trad	182.140	182.790	106	le hai messe
122	PSB161_trad	205.430	206.730	121	vabbè è uguale
132	PSB161_trad	219.990	221.040	131	vacca boia
166	PSB161_trad	300.000	302.740	165	che non capisce niente ed è uno scappato di casa il libanese
172	PSB162_trad	313.639	314.934	171	come raccontami dall'inizio
174	PSB161_trad	315.344	316.902	173	allora praticamente che ha detto
181	PSB161_trad	330.779	331.693	180	cosa fai là?
184	PSB161_trad	334.090	335.049	183	grazie mille
189	PSB161_trad	337.836	338.787	188	la sera andiamo
191	PSB162_trad	338.893	339.664	190	iniziamo. via
204	PSB161_trad	357.541	362.738	203	è lei che ha chiesto da sola ogni tanto gli chiede di me così tanto per farmi avere delle informazioni capito
221	PSB161_trad	400.525	403.869	220	perché non voglio che magari dopo glielo va a dire le scappa o qualcosa capito
235	PSB161_trad	431.779	437.604	234	oppure sì le maglie normali quelle le scarpe da ginnastica non con il mocassino il tallieur
248	PSB161_trad	456.565	458.058	247	sì mi sono ingrassata un po' sì lo so
293	PSB161_trad	549.084	551.909	292	è vestito con i jeans come un barbone
299	PSB161_trad	557.838	559.825	298	la prossima volta devo stare un po' zitta
312	PSB161_trad	582.429	583.208	311	è così
314	PSB162_trad	584.461	585.182	313	è così
360	PSB161_trad	689.916	691.994	359	non ho mai visto un bagno così
373	PSB161_trad	708.500	710.636	372	i diavoli? xxx
382	PSB161_trad	723.013	725.299	381	ah fai se~ dai cioè sono io
390	PSB161_trad	731.338	732.032	389	lavaggio
396	PSB161_trad	742.351	743.487	395	sì dobbiamo coprirlo
398	PSB162_trad	743.007	746.338	397	sì ma io faccio così perché sotto c'è il sacchetto
406	PSB162_trad	753.318	754.013	405	serve una busta
410	PSB162_trad	755.896	757.877	409	giuro su dio se volete sedervi qua fuori d'estate
415	PSB162_trad	761.494	764.416	414	ci sta ma deve essere ricoperto
422	PSB163_trad	768.331	771.571	421	ascolta il divano se diventa caldo
426	PSB162_trad	772.182	773.740	425	beh ora che faccio porto questi in francia?
429	PSB161_trad	774.117	775.292	428	portali in francia
447	PSB161_trad	802.909	803.818	446	cosa ne pensi?
450	PSB161_trad	806.630	807.721	449	lo compro io
459	PSB162_trad	820.883	822.377	458	ci sta ci sta il divano lì
466	PSB162_trad	832.415	832.883	465	in cosa?
501	PSB162_trad	892.994	896.955	500	senti parlo nel dialetto di pa~ tanti dicono mi parli mi di~ mi sembra sempre parmigiano
504	PSB163_trad	899.500	900.300	503	parma
508	PSB162_trad	901.987	905.013	507	ha detto parmigian adesso immaginati cosa xx negli anni novana
514	PSB162_trad	912.110	916.545	513	ma per costruirla ci lavoravo per bene poi dopo ho iniziato a stare zitto
529	PSB162_trad	946.994	951.643	528	cioè grammaticalmente come te come quello io faccio troppi errori cioè perché non
549	PSB163_trad	987.390	988.377	548	cosa intendi?
565	PSB162_trad	1008.987	1011.682	564	come una tipa
568	PSB162_trad	1012.286	1013.565	567	una che è andata in ospedale
656	PSB161_trad	1166.403	1166.857	655	ma cosa dici
789	PSB162_trad	1444.630	1447.422	788	è per quello che il camion si è tutto distrutto da davanti. è per questo.
818	PSB163_trad	1484.007	1485.546	817	spegni quella merda
829	PSB162_trad	1504.286	1505.279	828	xx semplice no?
833	PSB163_trad	1507.864	1509.182	832	ti do un pugno finché non voli
835	PSB161_trad	1509.221	1512.149	834	ma come mi dai un pugno finché volo? questa è roba mia
837	PSB162_trad	1510.533	1514.610	836	grazie a dio allah tutta la gloria a lui l'esaltato xxx
