token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB005	0	okay	okay	linguistic	none	_	Begin=0.0	_	_	_	_
0-1	PSB005	0	{P}	{P}	shortpause	none	_	_	_	_	_	_
0-2	PSB005	0	vado	vado	linguistic	none	_	_	_	_	_	_
0-3	PSB005	0	{P}	{P}	shortpause	none	_	_	_	_	_	_
0-4	PSB005	0	pronti	pronti	linguistic	none	_	End=2.154	_	_	_	_
1-0	PSB087	1	sì	sì	linguistic	none	_	Begin=2.75	_	_	_	_
1-1	PSB087	1	{P}	{P}	shortpause	none	_	_	_	_	_	_
1-2	PSB087	1	margherita	margherita	linguistic	none	_	End=3.93	_	_	_	_
2-0	PSB005	2	grazie	grazie	linguistic	none	_	Begin=3.96	_	_	_	_
2-1	PSB005	2	grazie	grazie	linguistic	none	_	_	_	_	_	_
2-2	PSB005	2	poi	poi	linguistic	none	_	_	_	_	_	_
2-3	PSB005	2	dopo	dopo	linguistic	none	_	_	_	_	_	_
2-4	PSB005	2	mi	mi	linguistic	none	_	_	_	_	_	_
2-5	PSB005	2	dici	dici	linguistic	none	_	_	_	_	_	_
2-6	PSB005	2	quanti	quanti	linguistic	none	_	_	_	_	_	_
2-7	PSB005	2	soldi	soldi	linguistic	none	_	_	_	_	_	_
2-8	PSB005	2	devo	devo	linguistic	none	_	_	_	_	_	_
2-9	PSB005	2	dare	dare	linguistic	none	_	End=6.94	_	_	_	_
3-0	PSB087	3	mhmh	mhmh	linguistic	none	_	Begin=6.97|End=7.46	_	_	_	_
4-0	PSB088	4	eh	eh	linguistic	none	_	Begin=7.94	_	_	_	_
4-1	PSB088	4	un	un	linguistic	none	_	_	_	_	_	_
4-2	PSB088	4	milione	milione	linguistic	none	_	_	_	_	_	_
4-3	PSB088	4	di	di	linguistic	none	_	_	_	_	_	_
4-4	PSB088	4	euro	euro	linguistic	none	_	_	_	_	_	_
4-5	PSB088	4	{P}	{P}	shortpause	none	_	_	_	_	_	_
4-6	PSB088	4	ce	ce	linguistic	none	_	_	_	_	_	_
4-7	PSB088	4	[l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	0-2(0)
4-8	PSB088	4	hai]?	hai	linguistic	none	Intonation=rising	End=9.97	_	_	_	0-3(0)
5-0	PSB005	5	[un	un	linguistic	none	_	Begin=9.625	_	_	_	0-2(0)
5-1	PSB005	5	mi~]	mi~	linguistic	none	Interrupted=Yes	_	_	_	_	0-3(0)
5-2	PSB005	5	no:	no	linguistic	none	_	_	1x1	_	_	_
5-3	PSB005	5	purtroppo	purtroppo	linguistic	none	_	_	_	_	_	_
5-4	PSB005	5	no	no	linguistic	none	_	_	_	_	_	_
5-5	PSB005	5	vorrei	vorrei	linguistic	none	_	_	_	_	_	_
5-6	PSB005	5	darvelo	darvelo	linguistic	none	_	_	_	_	_	_
5-7	PSB005	5	ma	ma	linguistic	none	_	_	_	_	_	_
5-8	PSB005	5	non	non	linguistic	none	_	_	_	_	_	_
5-9	PSB005	5	ce	ce	linguistic	none	_	_	_	_	_	_
5-10	PSB005	5	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
5-11	PSB005	5	ho	ho	linguistic	none	_	End=12.58	_	_	_	_
6-0	PSB088	6	eh	eh	linguistic	none	_	Begin=12.613	_	_	_	_
6-1	PSB088	6	va	va	linguistic	none	_	_	_	_	_	_
6-2	PSB088	6	bene	bene	linguistic	none	_	_	_	_	_	_
6-3	PSB088	6	mezzo	mezzo	linguistic	none	_	End=13.795	_	_	_	_
7-0	PSB005	7	mh	mh	linguistic	none	_	Begin=13.853	_	_	_	_
7-1	PSB005	7	ehm	ehm	linguistic	none	_	End=14.426	_	_	_	_
8-0	PSB005	8	vediamo	vediamo	linguistic	none	_	Begin=14.906	_	_	_	_
8-1	PSB005	8	se	se	linguistic	none	_	_	_	_	_	_
8-2	PSB005	8	lo	lo	linguistic	none	_	_	_	_	_	_
8-3	PSB005	8	trovo	trovo	linguistic	none	_	_	_	_	_	_
8-4	PSB005	8	[ve	ve	linguistic	none	_	_	_	_	_	0-2(1)
8-5	PSB005	8	lo	lo	linguistic	none	_	_	_	_	_	0-2(1)
8-6	PSB005	8	do]	do	linguistic	none	_	End=16.42	_	_	_	0-2(1)
9-0	PSB087	9	[a:h	ah	linguistic	none	_	Begin=15.893	0x1	_	_	0-2(1)
9-1	PSB087	9	e]cco	ecco	linguistic	none	_	_	_	_	_	0-1(1)
9-2	PSB087	9	ques[to	questo	linguistic	none	_	_	_	_	_	4-6(2)
9-3	PSB087	9	è	è	linguistic	none	_	_	_	_	_	0-1(2)
9-4	PSB087	9	per]	per	linguistic	none	_	_	_	_	_	0-3(2)
9-5	PSB087	9	te	te	linguistic	none	_	_	_	_	_	_
9-6	PSB087	9	lei	lei	linguistic	none	_	_	_	_	_	_
9-7	PSB087	9	è	è	linguistic	none	_	_	_	_	_	_
9-8	PSB087	9	l'	l'	linguistic	none	SpaceAfter=No	_	_	_	_	_
9-9	PSB087	9	[acqua]	acqua	linguistic	none	_	End=18.257	_	_	_	0-5(3)
10-0	PSB089	10	[io]	io	linguistic	none	_	Begin=16.806|End=17.046	_	_	_	0-2(2)
11-0	PSB088	11	[dopo	dopo	linguistic	none	_	Begin=17.9	_	_	_	0-4(?)
