tu_id	speaker	start	end	parent_tu_id	text
10	PSB119_trad	27.810	29.280	9	il se~ il settimo episodio
77	PSB104_trad	188.690	193.080	76	va bene l'hai letto in cinese o inglese
295	PSB104_trad	732.500	735.430	294	brividi su tutto il corpo
365	PSB119_trad	856.890	857.440	364	impegnata
374	PSB104_trad	873.270	876.250	373	elena compensa con essere impegnata
424	PSB119_trad	996.207	997.530	423	la vita bugiarda degli adulti
453	PSB119_trad	1042.960	1044.250	452	come si dice ombra?
457	PSB119_trad	1046.500	1046.800	456	sì
503	PSB104_trad	1119.940	1121.140	502	è impressionante
530	PSB105_trad	1174.130	1176.600	529	il libro inizia con uno stupro
533	PSB105_trad	1178.360	1180.940	532	quindi non capivo molto quando traducevo
535	PSB119_trad	1181.270	1182.150	534	il tuo libro?
537	PSB105_trad	1182.480	1184.990	536	cioè il libro che dobbiamo leggere
604	PSB119_trad	1303.190	1313.850	603	mi sono bloccata cioè si è sposata con il marito della sua sorella ex della sua sorella
623	PSB119_trad	1339.540	1341.320	622	cioè coetaneo più o meno
626	PSB119_trad	1342.650	1343.300	625	non c'è tanta differenza di età
641	PSB119_trad	1381.557	1382.286	640	timothée chalamet
643	PSB105_trad	1382.880	1383.250	642	chi?
645	PSB119_trad	1383.270	1383.990	644	timothée chalamet
703	PSB119_trad	1485.100	1487.090	702	timo timothée come si dice
705	PSB119_trad	1487.640	1488.510	704	timothée
710	PSB105_trad	1492.330	1493.570	709	sì
715	PSB105_trad	1498.570	1500.550	714	in cinese sarebbe tián chá cioè
717	PSB105_trad	1500.814	1502.422	716	perché the è chá
723	PSB105_trad	1506.480	1508.080	722	tián perché è dolce
730	PSB119_trad	1513.400	1514.660	729	timothée va
758	PSB119_trad	1562.590	1564.560	757	zio irons
760	PSB105_trad	1564.620	1565.470	759	sì sì sì sì sì sì
785	PSB105_trad	1606.810	1608.090	784	non so se qua c'è wifi o meno
835	PSB119_trad	1692.690	1693.190	834	bianca piccola magra
849	PSB105_trad	1710.530	1713.320	848	piccola è sembra bambina
883	PSB119_trad	1771.740	1772.750	882	aiuto
1066	PSB119_trad	2187.560	2188.200	1065	cioè
1068	PSB119_trad	2188.640	2190.030	1067	come si dice palestra
1177	PSB105_trad	2418.410	2419.240	1176	il bassotto
1179	PSB119_trad	2419.720	2420.880	1178	ah ho capito
1193	PSB119_trad	2436.150	2436.730	1192	labrador
1214	PSB119_trad	2474.340	2475.170	1213	la salsiccia
1223	PSB119_trad	2486.220	2487.020	1222	che carino
1238	PSB119_trad	2514.220	2515.610	1237	ah corgie
1310	PSB105_trad	2649.820	2650.370	1309	il libretto rosso
1312	PSB119_trad	2650.370	2650.980	1311	il libretto rosso
1314	PSB119_trad	2652.360	2653.060	1313	il libretto rosso
1324	PSB119_trad	2662.640	2663.110	1323	il libretto rosso
1332	PSB119_trad	2669.080	2669.800	1331	il libretto rosso
1350	PSB119_trad	2704.543	2707.030	1349	ci sono tipi di gatti a cui non sei allergica
1372	PSB119_trad	2749.240	2750.410	1371	sì castrato
1410	PSB119_trad	2828.320	2828.920	1409	gatto arancione
1415	PSB105_trad	2832.110	2832.790	1414	garfiled
1420	PSB119_trad	2836.020	2836.910	1419	garfield
1425	PSB119_trad	2839.990	2840.600	1424	garfield
1427	PSB104_trad	2841.110	2841.760	1426	garfield
1430	PSB119_trad	2843.070	2846.960	1429	garfield è una tipo razza di gatto
1445	PSB119_trad	2863.800	2865.830	1444	gatto grosso e pigro
1450	PSB119_trad	2873.330	2874.080	1449	morta
1461	PSB119_trad	2894.650	2895.920	1460	non riesce più a uscire
1503	PSB119_trad	2969.850	2970.390	1502	cosa?
1505	PSB105_trad	2970.410	2972.610	1504	dice mangia scorpione ha visto qualcuno che mangia scorpione
1515	PSB104_trad	2993.670	2994.180	1514	buono
1611	PSB105_trad	3168.800	3171.720	1610	come yun nan è stato indagato che cucinano con la carne umana
1613	PSB119_trad	3172.070	3173.210	1612	ma davvero
1615	PSB119_trad	3173.560	3175.550	1614	mi fa paura
1640	PSB104_trad	3227.350	3230.060	1639	fortuna infatti stavo dicendo sembrava fortuna
1642	PSB119_trad	3230.060	3231.550	1641	cosa mangiano?
1645	PSB105_trad	3232.060	3235.970	1644	cioè durante il capodanno henan o hebei mangiano pipistrello
1647	PSB105_trad	3236.400	3238.710	1646	cioè pensano che mangiare pipistrello può portare fortuna
1649	PSB119_trad	3236.940	3237.860	1648	ma davvero?
1685	PSB119_trad	3295.550	3297.940	1684	cosa? cosa? cosa stava chiedendo mi sono persa
1692	PSB105_trad	3312.120	3312.940	1691	pesce di xihu
1699	PSB105_trad	3325.910	3326.970	1698	gambero ubriaco
1701	PSB119_trad	3327.380	3327.720	1700	sì
1716	PSB119_trad	3362.420	3365.330	1715	hai mai visto dei video sulla pesca in mare
1718	PSB105_trad	3365.490	3365.960	1717	quale?
1722	PSB105_trad	3374.380	3376.290	1721	ah anche'io l'avevo visto
1764	PSB119_trad	3448.570	3449.490	1763	cavolo cavolo
1767	PSB105_trad	3450.300	3451.270	1766	è signora puff
1773	PSB119_trad	3458.310	3459.310	1772	spazzolare le scarpe
1820	PSB105_trad	3565.810	3567.050	1819	ti da calore
1929	PSB119_trad	3845.000	3846.940	1928	zeus come tutti
1941	PSB105_trad	3858.900	3859.680	1940	persefone
1943	PSB119_trad	3860.400	3860.920	1942	che cos'è?
1945	PSB105_trad	3861.360	3862.870	1944	cioè mitologia greca
1987	PSB119_trad	3935.560	3936.230	1986	san valentino cinese
2026	PSB119_trad	4028.270	4028.870	2025	tessitura
2073	PSB119_trad	4110.229	4111.880	2072	non ce la faccio a gestire le loro emozioni
2139	PSB119_trad	4275.280	4276.350	2138	cosa sta parlando?
2151	PSB104_trad	4305.570	4309.860	2150	niente questo libro parla della migrazione e della letteratura della migrazione
2177	PSB119_trad	4376.430	4377.510	2176	ah cosa stai dicendo?
2179	PSB105_trad	4377.830	4378.360	2178	mailin
2181	PSB119_trad	4378.910	4380.560	2180	ma lei è mailin?
2183	PSB105_trad	4380.560	4381.200	2182	sì sì sì
2186	PSB119_trad	4384.890	4386.040	2185	ah è stato così
2194	PSB104_trad	4393.880	4394.960	2193	fa manipolazione psicologica
2211	PSB104_trad	4435.850	4436.490	2210	porco
2215	PSB119_trad	4437.900	4438.580	2214	porcospino
2226	PSB105_trad	4458.340	4458.810	2225	congo
2228	PSB119_trad	4458.490	4459.470	2227	congo
2310	PSB119_trad	4640.736	4641.900	2309	come si dice etnia?
2564	PSB105_trad	5267.280	5275.900	2563	adesso se qualcuno mi dice ciao non rispondo più perché a volte se gli rispondo fa così
2570	PSB104_trad	5282.858	5283.886	2569	gelato
2576	PSB104_trad	5297.136	5298.143	2575	gelato gelato
2587	PSB119_trad	5315.120	5316.030	2586	fast and furious
2589	PSB105_trad	5316.940	5318.220	2588	che succede a fast and furious
2591	PSB119_trad	5318.860	5321.140	2590	cioè questo regista ha detto su tiktok
2594	PSB119_trad	5322.230	5324.929	2593	buongiorno cina ti piace gelato?
2598	PSB105_trad	5330.390	5331.536	2597	volete venire insieme?
2603	PSB105_trad	5334.940	5336.840	2602	volete venire insieme?
2605	PSB119_trad	5336.860	5337.890	2604	certo
2608	PSB119_trad	5338.430	5339.010	2607	vieni
