token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB005	0	0	0	mh:	mh	_	_	_	_	_	linguistic	_	none	_	Begin=0.02|End=0.399	1x1	_	_	_
1-0	PSB005	1	1	0	e~	e~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	Begin=0.595	_	_	_	_
1-1	PSB005	1	1	1	ehm	ehm	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-2	PSB005	1	1	2	sì	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	PSB005	1	1	3	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-4	PSB005	1	1	4	fortuna	fortuna	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-5	PSB005	1	1	5	noi	noi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-6	PSB005	1	1	6	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-7	PSB005	1	1	7	le	le	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-8	PSB005	1	1	8	trascrizioni	trascrizioni	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-9	PSB005	1	1	9	abbiamo:	abbiamo	_	_	_	_	_	linguistic	_	none	_	End=4.399	6x1	_	_	_
2-0	PSB005	2	2	0	un	un	_	_	_	_	_	linguistic	_	none	_	Begin=4.847	_	_	_	_
2-1	PSB005	2	2	1	aiuto	aiuto	_	_	_	_	_	linguistic	_	none	_	End=5.619	_	_	_	_
3-0	PSB019	3	3	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=5.96	_	_	_	_
3-1	PSB019	3	3	1	[capito]	capito	_	_	_	_	_	linguistic	_	none	_	End=6.755	_	_	_	0-6(1)
4-0	PSB005	4	4	0	[perché]	perché	_	_	_	_	_	linguistic	_	none	_	Begin=6.3	_	_	_	0-6(1)
4-1	PSB005	4	4	1	perché	perché	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	PSB005	4	4	2	trascrivere	trascrivere	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	PSB005	4	4	3	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-4	PSB005	4	4	4	veramente	veramente	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-5	PSB005	4	4	5	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-6	PSB005	4	4	6	lavoro	lavoro	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-7	PSB005	4	4	7	lun[go	lungo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	3-5(2)
4-8	PSB005	4	4	8	s]pecialmente	specialmente	_	_	_	_	_	linguistic	_	none	_	End=10.178	_	_	_	0-1(2)
5-0	PSB019	5	5	0	[mhmh]	mhmh	_	_	_	_	_	linguistic	_	none	_	Begin=9.05|End=9.534	_	_	_	0-4(2)
6-0	PSB005	6	6	0	un	un	_	_	_	_	_	linguistic	_	none	_	Begin=10.828	_	_	_	_
6-1	PSB005	6	6	1	certo	certo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-2	PSB005	6	6	2	tipo	tipo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-3	PSB005	6	6	3	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-4	PSB005	6	6	4	trascrizione	trascrizione	_	_	_	_	_	linguistic	_	none	_	End=12.387	_	_	_	_
7-0	PSB005	7	7	0	perché	perché	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=13.47	_	_	_	_
7-1	PSB005	7	7	1	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
7-2	PSB005	7	7	2	noi	noi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-3	PSB005	7	7	3	cerchiamo	cerchiamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-4	PSB005	7	7	4	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-5	PSB005	7	7	5	trascrivere	trascrivere	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-6	PSB005	7	7	6	con	con	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-7	PSB005	7	7	7	anche	anche	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-8	PSB005	7	7	8	dei	dei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-9	PSB005	7	7	9	tratti	tratti	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
7-10	PSB005	7	7	10	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
7-11	PSB005	7	7	11	d~	d~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
7-12	PSB005	7	7	12	del	del	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-13	PSB005	7	7	13	parlato	parlato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-14	PSB005	7	7	14	tipo	tipo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-15	PSB005	7	7	15	le	le	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-16	PSB005	7	7	16	paus[e:::	pause	_	_	_	_	_	linguistic	_	none	_	_	4x3	_	_	4-5(4)
7-17	PSB005	7	7	17	gli	gli	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(4)
7-18	PSB005	7	7	18	allu]ngamenti	allungamenti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-4(4)
7-19	PSB005	7	7	19	delle	delle	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-20	PSB005	7	7	20	vocali	vocali	_	_	_	_	_	linguistic	_	none	_	End=20.417	_	_	_	_
8-0	PSB019	8	8	0	[mhmh	mhmh	_	_	_	_	_	linguistic	_	none	_	Begin=18.27	_	_	_	0-4(4)
8-1	PSB019	8	8	1	sì]	sì	_	_	_	_	_	linguistic	_	none	_	End=19.13	_	_	_	0-2(4)
9-0	PSB019	9	9	0	importante	importante	_	_	_	_	_	linguistic	_	none	_	Begin=21.644	_	_	_	_
9-1	PSB019	9	9	1	sì	sì	_	_	_	_	_	linguistic	_	none	_	End=22.448	_	_	_	_
10-0	PSB005	10	10	0	però	però	_	_	_	_	_	linguistic	_	none	_	Begin=22.877	_	_	_	_
10-1	PSB005	10	10	1	abbiamo	abbiamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-2	PSB005	10	10	2	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-3	PSB005	10	10	3	tirocinio:	tirocinio	_	_	_	_	_	linguistic	_	none	_	_	8x1	_	_	_
10-4	PSB005	10	10	4	con	con	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-5	PSB005	10	10	5	degli	degli	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-6	PSB005	10	10	6	studenti	studenti	_	_	_	_	_	linguistic	_	none	_	End=25.288	_	_	_	_
11-0	PSB005	11	11	0	e:hm	ehm	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=25.73	0x1	_	_	_
11-1	PSB005	11	11	1	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
11-2	PSB005	11	11	2	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-3	PSB005	11	11	3	devono	devono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-4	PSB005	11	11	4	fare	fare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-5	PSB005	11	11	5	molte	molte	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-6	PSB005	11	11	6	ore	ore	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-7	PSB005	11	11	7	perché	perché	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-8	PSB005	11	11	8	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-9	PSB005	11	11	9	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-10	PSB005	11	11	10	tirocinio	tirocinio	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-11	PSB005	11	11	11	della	della	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-12	PSB005	11	11	12	triennale	triennale	_	_	_	_	_	linguistic	_	none	_	End=29.896	_	_	_	_
12-0	PSB019	12	12	0	mhmh	mhmh	_	_	_	_	_	linguistic	_	none	_	Begin=30.06|End=30.55	_	_	_	_
13-0	PSB005	13	13	0	e::	e	_	_	_	_	_	linguistic	_	none	_	Begin=30.644|End=31.35	0x2	_	_	_
14-0	PSB005	14	14	0	ci	ci	_	_	_	_	_	linguistic	_	none	_	Begin=31.755	_	_	_	_
14-1	PSB005	14	14	1	aiutano	aiutano	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-2	PSB005	14	14	2	con	con	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
